Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Marcondes, Roberto Rangel",A importância da participação popular na definição do interesse público a ser tutelado...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2010,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-08092011-085306/?&lang=pt-br
"Marques, Marina Dutra",A proteção do trabalho da mulher e a perpetuação do estereótipo de gênero: os dispositivos...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-30072020-144529/?&lang=pt-br
"Martins Filho, Antero Arantes",O modelo sindical brasileiro sob a ótica sociológica pós-moderna,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-08102020-205426/?&lang=pt-br
"Martins, Ana Luiza Leitão",O trabalho artístico da crianças e do adolescente,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-29112013-080629/?&lang=pt-br
"Martins, Fernando Corrêa",A legitimidade do sindicato na ação civil pública,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2009,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-24112009-134827/?&lang=pt-br
"Martins, Luísa Gomes",O princípio de proteção em face da flexibilização dos direitos trabalhistas,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2010,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-20062011-120620/?&lang=pt-br
"Medeiros, Alexandre Alliprandino",A hora do acidente,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-13112020-155319/?&lang=pt-br
"Merino, Lucyla Tellez",A eficácia do conceito de trabalho decente nas relações trabalhistas,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-21082012-111453/?&lang=pt-br
"Monaco, Mariana Del","Suporte fático do direito fundamental ao trabalho(art. 7º, I, da Constituição): análise...",Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-11022015-133948/?&lang=pt-br
"Montanhana, Beatriz Cardoso",Os direitos fundamentais do trabalhador e as estruturas sociais de poder das relações...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-02082012-150608/?&lang=pt-br
"Moraes, Maria Isabel Cueva",Políticas públicas e meios não adversariais de resolução de conflitos: política judiciária...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-25112016-093549/?&lang=pt-br
"Moreira, Priscila Soeiro",A negociação coletiva e o intervalo intrajornada,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2010,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-26092011-142122/?&lang=pt-br
"Muçouçah, Renato de Almeida Oliveira",Trabalhadores do sexo e seu exercício profissional: um enfoque pelo prisma da ciência...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-21082017-154058/?&lang=pt-br
